Name,Ownership,Location
"AFRICA INTERNATIONAL UNIVERSITY","Private","Karen, Nairobi County"
"AFRICA NAZARENE UNIVERSITY","Private","Ongata Rongai, Kajiado County"
"ALUPE UNIVERSITY","Public","Alupe, Busia County"
"AMREF INTERNATIONAL UNIVERSITY","Private","Nairobi, Nairobi County"
"BOMET UNIVERSITY COLLEGE","Public","Bomet, Bomet County"
"CATHOLIC UNIVERSITY OF EASTERN AFRICA","Private","Nairobi, Nairobi County"
"CHUKA UNIVERSITY","Public","Chuka, Tharaka Nithi County"
"CO-OPERATIVE UNIVERSITY OF KENYA","Public","Karen, Nairobi County"
"DAYSTAR UNIVERSITY","Private","Athi River, Machakos County"
"DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY","Public","Nyeri, Nyeri County"
"EGERTON UNIVERSITY","Public","Njoro, Nakuru County"
"GARISSA UNIVERSITY","Public","Garissa, Garissa County"
"GREAT LAKES UNIVERSITY OF KISUMU","Private","Kisumu, Kisumu County"
"GRETSA UNIVERSITY","Private","Thika, Kiambu County"
"INTERNATIONAL LEADERSHIP UNIVERSITY","Private","Nairobi, Nairobi County"
"ISLAMIC UNIVERSITY OF KENYA","Private","Kisaju, Kajiado County"
"JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY","Private","Bondo, Siaya County"
"JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY","Public","Juja, Kiambu County"
"KABARAK UNIVERSITY","Private","Nakuru, Nakuru County"
"KABARNET UNIVERSITY COLLEGE","Private","Kabarnet, Baringo County"
"KAIMOSI FRIENDS UNIVERSITY","Public","Kaimosi, Vihiga County"
"KARATINA UNIVERSITY","Public","Karatina, Nyeri County"
"KCA UNIVERSITY","Private","Nairobi, Nairobi County"
"KENYA ASSEMBLIES OF GOD EAST UNIVERSITY","Private","Buruburu, Nairobi County"
"KENYA HIGHLANDS EVANGELICAL UNIVERSITY","Private","Kericho, Kericho County"
"KENYA METHODIST UNIVERSITY","Private","Meru, Meru County"
"KENYATTA UNIVERSITY","Public","Nairobi, Nairobi County"
"KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE","Public","Gatundu, Kiambu County"
"KIBABII UNIVERSITY","Public","Bungoma, Bungoma County"
"KIRINYAGA UNIVERSITY","Public","Kerugoya, Kirinyaga County"
"KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY","Private","Nairobi, Nairobi County"
"KISII UNIVERSITY","Public","Kisii, Kisii County"
"KOITALEEL SAMOEI UNIVERSITY COLLEGE","Public","Mosoriot, Nandi County"
"LAIKIPIA UNIVERSITY","Public","Nyahururu, Laikipia County"
"LUKENYA UNIVERSITY","Private","Kambu, Makueni County"
"MAASAI MARA UNIVERSITY","Public","Narok, Narok County"
"MACHAKOS UNIVERSITY","Public","Machakos, Machakos County"
"MANAGEMENT UNIVERSITY OF AFRICA","Private","Nairobi, Nairobi County"
"MARIST INTERNATIONAL UNIVERSITY COLLEGE","Private","Nairobi, Nairobi County"
"MASENO UNIVERSITY","Public","Maseno, Kisumu County"
"MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY","Public","Kakamega, Kakamega County"
"MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY","Public","Meru, Meru County"
"MOI UNIVERSITY","Public","Kesses, Uasin Gishu County"
"MOUNT KENYA UNIVERSITY","Private","Thika, Kiambu County"
"MULTIMEDIA UNIVERSITY OF KENYA","Public","Rongai, Nairobi County"
"MURANG'A UNIVERSITY OF TECHNOLOGY","Public","Murang'a, Murang'a County"
"NYANDARUA UNIVERSITY COLLEGE","Private","Ol Kalou, Nyandarua County"
"OPEN UNIVERSITY OF KENYA","Public","Konza, Machakos County"
"PAN AFRICA CHRISTIAN UNIVERSITY","Private","Nairobi, Nairobi County"
"PRESBYTERIAN UNIVERSITY OF EAST AFRICA","Private","Kikuyu, Kiambu County"
"PWANI UNIVERSITY","Public","Kilifi, Kilifi County"
"RIARA UNIVERSITY","Private","Nairobi, Nairobi County"
"RONGO UNIVERSITY","Public","Rongo, Migori County"
"SCOTT CHRISTIAN UNIVERSITY","Private","Machakos, Machakos County"
"SOUTH EASTERN KENYA UNIVERSITY","Public","Kwa Vonza, Kitui County"
"ST PAULS UNIVERSITY","Private","Limuru, Kiambu County"
"TAITA TAVETA UNIVERSITY","Public","Voi, Taita Taveta County"
"TANGAZA UNIVERSITY","Private","Nairobi, Nairobi County"
"TECHNICAL UNIVERSITY OF KENYA","Public","Nairobi, Nairobi County"
"TECHNICAL UNIVERSITY OF MOMBASA","Public","Mombasa, Mombasa County"
"THARAKA UNIVERSITY","Public","Marimanti, Tharaka Nithi County"
"THE EAST AFRICAN UNIVERSITY","Private","Kitengela, Kajiado County"
"TOM MBOYA UNIVERSITY","Public","Homa Bay, Homa Bay County"
"TURKANA UNIVERSITY COLLEGE","Public","Lodwar, Turkana County"
"UNIVERSITY OF EASTERN AFRICA, BARATON","Private","Baraton, Nandi County"
"UNIVERSITY OF ELDORET","Public","Eldoret, Uasin Gishu County"
"UNIVERSITY OF EMBU","Public","Embu, Embu County"
"UNIVERSITY OF KABIANGA","Public","Kericho, Kericho County"
"UNIVERSITY OF NAIROBI","Public","Nairobi, Nairobi County"
"UZIMA UNIVERSITY","Private","Kisumu, Kisumu County"
"ZETECH UNIVERSITY","Private","Ruiru, Kiambu County"
