=== Table 1 ===
KENYA UNIVERSITIES AND COLLEGES CENTRAL PLACEMENT SERVICE |  |  |  | 
Minimum Subject Requirements for TVET Programmes |  |  |  | 
 | Programme Category | Level | Minimum Mean Grade | Subjects Requirements
 |  |  |  | Minimum Subject Grade
1 | Law | Diploma | C plain | ENG/KIS - C+
 |  | Certificate | C- (minus) | ENG/KIS - C(plain)
2 | Education | Diploma | C+ | Science Based Courses ENG - C (plain) MATH - C (plain) C+ in two teaching subjects Non-Science Based Courses ENG - C (plain) MATH - D+ C+ in two teaching subjects
 |  | Diploma for Visually and Hearing Impaired Applicants | C (plain) | (Science Based Courses) ENG -     C- (Minus) MATH -    C- (minus) C (plain) in two teaching subjects (Non- Science Based Courses) ENG -     C- (Minus) MATH -    D (plain) C (plain) in two teaching subjects
3 | Accountancy | Diploma | C- (minus) | None
 |  | Certificate | D(plain) | None
4 | Architecture | Diploma | C (plain) | MATH Alternative A -    C (plain) PHY - C (plain) ENG/KIS -     C (plain)
 |  | Certificate | C- (minus) | MATH -    C- (minus) PHY - C- (minus) ENG/KIS -     C- (minus)
 | Quantity Survey | Diploma | C (plain) | MATH Alternative A -    C (plain) PHY - C (plain) ENG/KIS -     C (plain)
 |  |  |  | 
 |  |  |  | 
 | Programme Category | Level | Minimum Mean Grade | Subjects Requirements
 |  |  |  | Minimum Subject Grade
 |  | Certificate | C- (minus) | MATH -    C- (minus) PHY - C- (minus) ENG/KIS -     C- (minus)
5 | Engineering, Engineering Technology | Diploma | C- (minus) | None
 |  | Certificate | D+ | 
6 | Pharmacy | Diploma | C (plain) | Alternative A                                       Alternative B CHE - C (plain)                                   Biological Sciences - C (plain) BIO  - C (plain)                                   Physical Sciences  - C (plain) MATH/PHY - C (plain)                    MATH -            C (plain) ENG/KIS - C (plain)                         ENG/KIS - C (plain)
7 | Environmental Health | Diploma | C (plain) | ENG/KIS - C (plain) BIO/Biological Sciences -C (plain) CHE/Physical Sciences - C- (minus) MATH Alternative A - C- (minus)
 |  | Certificate | C- (minus) | ENG/KIS - C- (minus) BIO/Biological Sciences -C- (minus) PHY/CHE/MATH/HSC/AGRIC/GSC - D+
8 | Nursing | Diploma | C (plain) | BIO/Biological Sciences -C (plain) ENG/KIS - C (plain) PHY/Physical Sciences/CHE/MATH - C- (minus)
 |  | Certificate | C - (minus) | BIO/Biological Sciences -  C - (minus) ENG/KIS - C - (minus) PHY/Physical Sciences/CHE/MATH- D+
9 | Animal Health | Diploma | C (plain) | BIO - C (plain) CHE - C- (minus) MATH/PHY/AGRIC - C- (minus)
 |  | Certificate | C- (minus) | BIO - C- (minus)

=== Table 2 ===
 | Programme Category | Level | Minimum Mean Grade | Subjects Requirements
 |  |  |  | Minimum Subject Grade
